id,name,scope,storeId,phoneNumber,email,address,status,description,contactPerson,createdAt,updatedAt
11,PT. Lestari Perkasa G,GLOBAL,,628310334418,ptlestariperkasag@posku.id,"Jl. Kapten Muslihat No. 9
Palu, Sumatera Utara 47888",ACTIVE,Aut quae molestiae omnis aliquam ab. Doloremque sint accusantium modi.,Fitria Halimah,2025-11-11 06:55:48.605432,2025-11-28 06:55:48.605432
12,CV. Sinar Pangan G,GLOBAL,,6281775943701,cvsinarpangang73@outlook.com,"Gg. M.H Thamrin No. 11
Sibolga, PB 15027",ACTIVE,Voluptates vitae rerum assumenda exercitationem quasi alias.,Najwa Susanti,2025-08-24 06:55:48.605432,2025-11-28 06:55:48.605432
13,PT. Lestari Unggul G,GLOBAL,,628120379105,ptlestariunggulg@gmail.com,"Jalan Peta No. 2
Tomohon, KR 47440",ACTIVE,Dolore est animi possimus nihil iste. Officiis hic reiciendis vel animi ex vitae.,Gangsa Simanjuntak,2025-11-07 06:55:48.605432,2025-11-28 06:55:48.605432
14,Distributor Bintang Mandiri G,GLOBAL,,62882261820095,distributorbintangmandirig@outlook.com,"Jalan Ahmad Dahlan No. 526
Palu, Jambi 63025",ACTIVE,Ex cupiditate fugiat ea unde. Reiciendis molestias eos itaque.,Nova Utami,2025-10-08 06:55:48.605432,2025-11-28 06:55:48.605432
15,CV. Bintang Pangan G,GLOBAL,,62813721049665,cvbintangpangang14@yahoo.com,"Jalan Pasir Koja No. 318
Kota Administrasi Jakarta Selatan, Jawa Timur 63381",ACTIVE,Repellat laboriosam doloribus velit repellat illum. Optio sed magnam maiores. Similique sint nulla.,Natalia Puspasari,2025-08-23 06:55:48.605432,2025-11-28 06:55:48.605432
16,Pemasok Lokal Toko,STORE,6,6289854624821,pemasoklokaltoko@yahoo.com,"Gang Joyoboyo No. 6
Parepare, ST 80762",ACTIVE,Pemasok eksklusif toko ID 6,Citra Zulaika,2025-11-28 06:55:48.605432,2025-11-28 06:55:48.605432
17,Pemasok Lokal Grosir,STORE,9,62815037682,pemasoklokalgrosir@yahoo.com,"Jl. Cihampelas No. 3
Makassar, KB 78372",ACTIVE,Pemasok eksklusif toko ID 9,Maida Nurdiyanti,2025-11-28 06:55:48.605432,2025-11-28 06:55:48.605432
18,Pemasok Lokal Restoran,STORE,3,628322388329,pemasoklokalrestoran@outlook.com,"Jalan Ahmad Yani No. 321
Tidore Kepulauan, Papua Barat 77308",ACTIVE,Pemasok eksklusif toko ID 3,Lanang Prayoga,2025-11-28 06:55:48.605432,2025-11-28 06:55:48.605432
19,Pemasok Lokal Minimarket,STORE,4,6288127715415,pemasoklokalminimarket98@gmail.com,"Jalan Pasir Koja No. 569
Lubuklinggau, Banten 82470",ACTIVE,Pemasok eksklusif toko ID 4,Uli Pertiwi,2025-11-28 06:55:48.605432,2025-11-28 06:55:48.605432
20,Pemasok Lokal Grosir,STORE,1,6281790186425,pemasoklokalgrosir87@bisnisanda.com,"Gg. Pasteur No. 5
Pangkalpinang, BE 24187",ACTIVE,Pemasok eksklusif toko ID 1,Humaira Hastuti,2025-11-28 06:55:48.605432,2025-11-28 06:55:48.605432
