A,B
154,12
155,4
155,10
156,12
156,6
156,19
156,1
157,17
158,10
158,6
159,10
159,8
159,4
159,11
159,2
160,4
160,19
160,10
160,17
160,18
161,11
162,8
162,2
163,3
163,12
163,17
163,1
164,11
164,5
164,13
165,12
166,14
166,5
166,1
166,12
166,11
167,10
167,4
167,9
168,2
169,1
169,12
170,9
170,19
170,8
171,16
171,12
172,16
172,8
173,1
173,3
173,10
173,18
174,15
174,9
175,12
175,15
175,5
175,14
176,16
177,13
177,4
177,2
177,12
177,17
178,6
178,14
178,19
179,3
179,18
180,17
180,19
180,15
180,20
180,7
181,4
181,14
181,2
181,8
181,5
182,3
182,20
182,7
182,14
182,9
183,10
183,4
183,20
183,18
184,14
184,18
184,1
184,17
185,13
185,16
185,18
185,3
186,4
186,12
186,2
186,7
187,2
187,11
187,3
188,9
188,20
188,5
189,20
189,10
189,4
189,12
189,15
190,1
190,17
190,18
190,9
191,5
191,17
191,20
191,13
192,15
192,16
192,7
192,2
193,4
193,12
193,11
193,14
194,12
194,13
194,11
194,16
195,19
196,10
196,6
197,10
197,2
198,6
198,14
199,14
199,7
199,1
200,18
201,13
201,19
202,20
202,9
202,6
202,12
202,10
203,6
203,18
203,8
203,12
204,4
205,19
205,12
206,20
206,14
207,19
207,17
207,8
208,2
208,13
208,6
209,14
210,2
210,18
211,16
211,3
212,5
212,15
212,19
212,14
213,4
213,17
213,13
213,12
213,6
214,3
214,14
214,7
214,12
214,19
215,13
215,15
216,1
216,6
216,14
217,8
217,7
217,15
218,15
219,2
219,15
219,14
219,19
219,10
220,13
221,17
221,4
221,19
221,2
221,1
222,3
222,15
222,1
222,7
222,18
223,3
223,16
223,19
223,5
223,17
224,9
224,8
225,3
225,1
226,10
226,4
227,1
227,20
228,12
229,7
229,16
230,2
230,19
231,6
231,20
231,5
232,10
233,6
233,15
233,1
233,19
233,11
234,2
234,17
234,4
235,15
235,11
235,8
235,7
236,2
236,4
236,3
236,17
236,7
237,6
237,5
237,4
238,13
238,12
239,3
239,18
239,13
239,14
239,5
240,12
241,17
241,18
241,15
242,4
242,18
242,1
242,14
242,6
243,2
243,10
244,13
244,4
244,15
245,4
246,16
246,18
247,6
247,8
247,2
247,11
247,16
248,2
248,18
249,19
249,14
250,6
250,7
250,17
251,13
251,2
252,8
252,3
252,14
253,14
253,13
253,8
254,10
254,11
255,13
255,11
255,10
255,20
256,15
256,4
257,11
258,15
258,12
258,14
258,9
258,7
259,18
259,2
260,9
260,13
260,12
261,17
261,9
261,20
261,6
261,5
262,10
263,3
263,15
263,7
263,12
264,10
264,12
265,17
266,3
266,1
266,14
266,8
266,17
267,2
267,8
268,17
268,3
269,16
269,11
269,18
269,8
270,8
270,3
271,20
271,14
271,7
271,12
271,5
272,20
272,16
272,4
272,1
273,14
273,20
273,7
273,18
274,13
274,9
275,11
276,16
276,19
277,12
277,16
278,17
278,9
278,11
278,6
279,17
279,2
279,12
279,16
280,7
280,11
281,3
281,20
281,2
281,10
281,13
282,18
282,19
282,5
282,12
282,17
283,8
283,3
284,10
284,5
284,4
285,19
285,17
286,6
286,15
286,16
286,7
287,4
287,12
287,5
287,15
288,10
289,1
289,18
289,3
290,8
290,3
290,4
290,1
291,15
291,13
291,2
292,12
292,13
292,4
293,5
293,8
293,4
294,7
295,10
296,7
297,14
297,5
297,19
298,19
298,18
299,12
300,17
300,2
300,20
301,15
301,4
301,1
301,10
301,5
302,5
302,12
303,8
303,16
303,18
303,17
304,20
304,8
304,12
304,7
304,13
305,16
305,10
306,15
306,20
306,9
306,6
307,1
307,11
307,10
307,7
307,9
308,3
308,9
308,2
308,6
308,10
309,12
309,10
310,10
310,9
310,12
310,5
310,13
311,16
311,4
311,10
311,8
311,1
312,3
313,9
313,10
313,1
314,9
314,3
315,8
315,20
315,2
315,16
315,7
316,11
316,20
316,5
316,12
316,6
317,9
317,19
317,4
317,20
317,12
318,15
318,1
319,4
319,20
319,2
320,2
320,8
321,20
321,4
322,9
322,14
322,13
322,6
323,12
324,5
324,15
324,8
324,1
324,18
325,6
326,7
326,8
326,11
326,10
326,4
327,6
327,3
327,19
327,12
327,11
328,5
329,19
329,20
330,18
330,20
330,15
330,13
331,8
331,13
332,17
333,17
333,9
333,11
333,10
333,12
334,11
334,18
334,1
335,3
336,4
336,5
336,8
336,1
336,10
337,17
338,14
338,5
338,18
338,3
339,9
339,17
340,20
340,17
341,3
342,14
342,18
342,10
343,13
343,12
343,9
343,8
343,17
344,2
344,17
345,18
345,2
345,20
345,17
346,13
346,10
346,14
347,1
347,14
347,20
348,10
348,4
348,16
348,2
348,5
349,13
349,7
350,20
350,19
351,16
352,12
352,10
352,4
353,2
353,10
353,14
353,11
354,17
354,16
354,5
355,6
355,3
355,17
355,1
356,8
356,15
356,19
356,2
356,5
357,12
357,14
357,2
357,4
357,6
358,2
358,20
358,14
359,17
359,9
359,1
359,3
359,15
360,2
361,17
361,4
361,11
361,16
362,8
362,11
362,3
362,16
363,15
363,8
363,3
364,6
364,19
365,10
365,1
365,6
365,18
365,17
366,18
367,12
367,6
367,18
367,2
368,9
368,16
368,1
369,11
369,1
370,7
370,18
370,9
371,8
371,6
371,3
372,18
372,13
372,10
372,7
372,4
373,14
373,18
373,15
373,11
374,13
374,1
374,5
374,17
374,20
375,5
375,12
376,15
376,16
376,10
376,19
376,7
377,5
377,9
378,13
378,6
378,19
378,18
379,5
379,1
379,10
379,11
379,20
380,9
380,3
380,7
380,20
381,15
381,6
381,14
381,1
381,20
382,6
383,15
383,2
383,19
383,5
384,1
384,6
385,18
386,14
386,4
386,11
386,18
387,7
388,1
388,19
388,2
388,20
388,4
389,8
390,7
390,18
391,12
391,19
391,1
391,11
391,13
392,3
392,8
393,15
393,18
393,2
393,3
394,12
394,2
394,9
394,5
395,9
395,16
395,13
395,3
395,2
396,6
397,12
397,16
397,14
397,15
398,5
398,14
399,3
399,8
400,2
400,6
400,3
401,18
402,9
402,11
402,4
403,17
403,16
403,7
404,13
404,4
405,3
406,4
406,7
406,20
407,5
407,6
407,13
407,17
407,11
408,2
408,7
408,1
408,6
409,20
409,19
409,18
409,4
409,5
410,7
410,15
410,19
410,16
411,7
411,20
411,2
412,17
412,16
412,8
413,19
413,2
413,18
413,8
414,17
414,14
414,10
414,13
414,8
415,6
415,19
415,14
415,17
416,20
416,11
416,17
416,19
417,2
417,9
418,8
419,19
420,9
420,2
420,4
420,6
420,5
421,3
422,14
422,18
423,13
424,8
425,10
425,7
426,4
426,8
426,10
426,5
427,20
427,8
428,3
428,17
429,15
430,8
430,7
431,11
431,13
431,20
431,17
432,8
432,10
432,3
433,7
433,2
433,20
433,13
433,5
434,20
434,19
434,6
434,7
434,12
435,7
435,13
436,10
436,13
437,1
437,5
438,5
438,10
438,18
439,18
439,16
439,8
440,7
440,20
440,10
441,13
441,6
441,12
441,4
442,20
442,7
442,2
442,9
442,5
443,18
443,20
443,4
444,5
444,20
444,10
444,9
444,13
445,14
445,7
445,16
446,7
447,17
447,7
448,18
448,2
449,19
450,7
450,8
450,10
451,15
451,4
451,13
452,8
453,9
454,9
454,15
454,12
454,2
454,1
455,1
456,20
456,16
456,17
457,15
457,13
457,19
457,6
458,7
459,12
459,13
460,19
460,13
460,16
460,14
460,9
461,16
461,20
461,14
461,17
462,18
463,11
463,20
464,20
464,6
464,16
464,11
464,10
465,18
466,11
467,17
467,7
467,12
467,2
468,1
468,20
468,13
468,14
468,17
469,9
469,10
469,13
470,12
470,8
470,1
470,16
470,9
471,19
471,3
471,7
472,19
472,18
472,3
472,8
472,4
473,11
473,9
473,12
474,20
474,12
475,17
475,9
476,11
476,4
476,10
476,9
477,18
478,15
478,13
478,12
478,10
479,2
479,14
480,15
480,4
480,9
480,10
480,1
481,4
481,9
482,1
482,18
482,9
483,17
483,9
483,14
483,10
483,3
484,8
484,6
484,17
484,16
484,14
485,20
485,14
486,2
486,1
486,16
486,8
487,5
487,20
487,14
487,16
488,7
488,1
489,15
489,6
489,19
490,5
491,20
491,15
491,13
491,18
492,7
493,14
493,2
493,9
493,17
494,1
494,3
494,19
495,4
495,7
495,8
495,11
495,12
496,9
496,18
496,3
496,19
496,2
497,17
497,4
497,10
497,5
498,17
498,9
498,14
498,7
499,15
499,18
500,17
500,4
501,1
501,9
501,11
502,10
503,3
503,9
504,18
504,16
504,1
504,13
504,2
505,7
505,8
506,10
506,20
506,17
506,6
507,16
508,1
508,7
508,3
508,13
509,11
509,14
510,11
511,14
512,7
512,4
512,18
512,20
513,15
513,17
513,12
514,12
514,10
514,15
514,2
514,20
515,15
515,3
515,6
516,10
516,15
517,19
517,2
517,4
517,1
518,9
518,10
519,10
519,15
519,3
520,19
520,7
520,11
520,8
521,11
522,7
523,4
524,5
524,19
524,8
524,17
524,13
525,16
525,3
525,15
525,7
526,13
526,6
527,2
528,8
529,1
529,9
530,13
531,4
531,14
532,17
533,9
534,13
534,10
535,16
535,2
535,19
536,17
537,6
537,4
537,12
538,11
539,15
539,14
539,9
540,12
541,9
541,20
542,9
542,15
543,4
543,16
543,8
543,5
544,7
544,17
545,13
546,11
546,12
546,14
546,15
547,1
547,13
548,2
548,17
549,13
550,4
551,1
551,6
552,12
552,3
553,13
553,2
553,12
553,16
